window_ms,bins,channel_mode,selected_channels,feature_dim,shrinkage,prior,scaler,aggregation,train_character_correct,train_character_accuracy,train_pr_auc,train_roc_auc,train_balanced_accuracy,test_character_correct_reference,test_character_accuracy_reference,test_predictions_reference
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,0.03,empirical,standard,mean,12,1.0,0.5144917968770388,0.8060833333333334,0.6658333333333334,5,0.625,2NL5CXKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,0.03,empirical,standard,trial_zscore_mean,12,1.0,0.5144917968770388,0.8060833333333334,0.6658333333333334,5,0.625,2NL5CXKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,0.03,empirical,standard,round_zscore_mean,12,1.0,0.5144917968770388,0.8060833333333334,0.6658333333333334,5,0.625,2NL5OXKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,0.03,balanced,standard,trimmed_mean,12,1.0,0.5099132972770319,0.7984583333333333,0.7083333333333333,5,0.625,2BF5OXGM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,0.03,empirical,none,mean,12,1.0,0.5061816547740643,0.8112222222222223,0.6475,6,0.75,2TL5CXKM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,0.03,empirical,none,trial_zscore_mean,12,1.0,0.5061816547740643,0.8112222222222223,0.6475,6,0.75,2TL5CXKM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,0.03,empirical,none,round_zscore_mean,12,1.0,0.5061816547740643,0.8112222222222223,0.6475,6,0.75,2TL5CXKM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,0.03,empirical,standard,round_zscore_mean,12,1.0,0.5007482836493777,0.81025,0.6375,6,0.75,2TL5CXKM
0-500,12,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",240,0.03,empirical,none,mean,11,0.9166666666666666,0.5513557549618647,0.8119444444444445,0.6933333333333334,5,0.625,2TL5OXGM
0-500,12,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",240,0.03,empirical,none,trial_zscore_mean,11,0.9166666666666666,0.5513557549618647,0.8119444444444445,0.6933333333333334,5,0.625,2TL5OXGM
0-500,12,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",240,0.03,empirical,standard,mean,11,0.9166666666666666,0.5490631995227516,0.812486111111111,0.69,3,0.375,2BL5OXAA
0-500,12,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",240,0.03,empirical,standard,trial_zscore_mean,11,0.9166666666666666,0.5490631995227516,0.812486111111111,0.69,3,0.375,2BL5OXAA
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,0.03,empirical,none,round_zscore_mean,11,0.9166666666666666,0.5185348728389304,0.807763888888889,0.6591666666666667,5,0.625,2NL5CXKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,0.03,empirical,standard,trimmed_mean,11,0.9166666666666666,0.5144917968770388,0.8060833333333334,0.6658333333333334,7,0.875,2TF5OXKM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,0.03,balanced,none,round_zscore_mean,11,0.9166666666666666,0.510264372504567,0.8039722222222223,0.7433333333333333,6,0.75,2BF5CXKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,0.03,balanced,standard,mean,11,0.9166666666666666,0.5099132972770319,0.7984583333333333,0.7083333333333333,5,0.625,2NF5ULKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,0.03,balanced,standard,trial_zscore_mean,11,0.9166666666666666,0.5099132972770319,0.7984583333333333,0.7083333333333333,5,0.625,2NF5ULKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,0.03,balanced,none,round_zscore_mean,11,0.9166666666666666,0.5081703555337572,0.8009027777777777,0.7183333333333333,4,0.5,2NF5ULGM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,0.03,empirical,none,trimmed_mean,11,0.9166666666666666,0.5061816547740643,0.8112222222222223,0.6475,6,0.75,2TL5CXKM
0-500,12,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",240,0.03,empirical,none,round_zscore_mean,11,0.9166666666666666,0.505824168441151,0.8083333333333333,0.6483333333333333,7,0.875,2TF5OXKM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,0.03,empirical,standard,mean,11,0.9166666666666666,0.5007482836493777,0.81025,0.6375,5,0.625,2BL5CXKM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,0.03,empirical,standard,trial_zscore_mean,11,0.9166666666666666,0.5007482836493777,0.81025,0.6375,5,0.625,2BL5CXKM
0-500,10,top12,"Ch20,Ch17,Ch15,Ch12,Ch14,Ch16,Ch13,Ch10,Ch18,Ch19,Ch08,Ch11",120,0.03,empirical,standard,median,11,0.9166666666666666,0.49999365073611385,0.8199722222222222,0.6441666666666667,6,0.75,2TF5CXGM
